School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
BELFIELD HIGH SCHOOL,North Dakota,3.81E+11,ND ,Stark County,†,†,2-No,43-Rural: Remote,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,118,24,10,9,33,63,55,–,–,5,2,109,–,2,118,8.87,13.3
BELFONTE BELL ES (ADAIR CNTY),Oklahoma,4.00E+11,OK ,Adair County,2-No,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),90,90,87,0,90,39,51,84,–,2,–,3,–,1,90,8.87,10.15
BELFONTE PUBLIC SCHOOL,Oklahoma,4.00E+11,OK ,Sequoyah County,2-No,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),104,104,82,0,104,47,57,51,3,9,–,39,–,2,104,9,11.56
BELFRY 7-8,Montana,3.00E+11,MT ,Carbon County,†,†,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,14,14,–,–,14,6,8,1,0,0,0,13,0,0,14,2.23,6.28
BELFRY AREA TECHNOLOGY CENTER,Kentucky,2.10E+11,KY ,Pike County,†,2-No,1-Yes,41-Rural: Fringe,†,†,†,No,†,0,–,0,0,†,†,†,†,†,†,†,†,†,0,0,†
BELFRY ELEMENTARY,Kentucky,2.10E+11,KY ,Pike County,†,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),573,385,–,13,398,297,276,–,1,12,8,542,–,10,573,30,19.1
BELFRY HIGH SCHOOL,Kentucky,2.10E+11,KY ,Pike County,†,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),599,320,–,27,347,324,275,–,4,2,13,573,–,7,599,33.5,17.88
BELFRY HIGH SCHOOL,Montana,3.00E+11,MT ,Carbon County,†,†,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,15,15,–,–,15,6,9,1,0,0,0,14,0,0,15,3.93,3.82
BELFRY MIDDLE SCHOOL,Kentucky,2.10E+11,KY ,Pike County,†,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),423,221,–,12,233,212,211,–,3,3,11,397,–,9,423,24.5,17.27
BELFRY SCHOOL,Montana,3.00E+11,MT ,Carbon County,†,†,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,40,40,–,–,40,22,18,0,0,0,0,40,0,0,40,3.74,10.7
BELGRADE CENTRAL SCHOOL,Maine,2.31E+11,ME ,Kennebec County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,260,112,–,10,122,138,122,–,–,5,–,248,–,7,260,20.4,12.75
BELGRADE HIGH SCHOOL,Montana,3.00E+11,MT ,Gallatin County,†,†,2-No,33-Town: Remote,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,900,143,–,55,198,441,459,18,8,56,4,800,4,10,900,56.02,16.07
BELGRADE MIDDLE SCHOOL,Montana,3.00E+11,MT ,Gallatin County,†,†,2-No,33-Town: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,1071,247,–,62,309,540,531,15,4,57,8,961,3,23,1071,69.5,15.41
BELGRADE-BROOTEN-ELROSA ELEMENTARY,Minnesota,2.70E+11,MN ,Stearns County,2-No,2-No,2-No,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,345,90,–,34,124,182,163,–,1,40,1,301,–,2,345,23.04,14.97
BELGRADE-BROOTEN-ELROSA SEC.,Minnesota,2.70E+11,MN ,Stearns County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,313,61,–,28,89,158,155,2,–,25,1,283,–,2,313,20.53,15.25
BELGREEN HIGH SCHOOL,Alabama,10159000541,AL ,Franklin County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),543,278,225,96,374,277,266,2,1,89,6,435,–,10,543,32.75,16.58
BELHAVEN MIDDLE SCHOOL,New Jersey,3.41E+11,NJ ,Atlantic County,2-No,†,2-No,22-Suburb: Mid-size,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,397,24,–,10,34,216,181,–,18,32,3,324,–,20,397,33.97,11.69
BELIEVERS ACADEMY,Florida,1.20E+11,FL ,Palm Beach County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,118,92,75,5,97,85,33,0,1,24,63,25,0,5,118,4,29.5
BELINDER ELEM,Kansas,2.01E+11,KS ,Johnson County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,499,23,–,16,39,268,231,–,10,38,5,422,–,24,499,29.7,16.8
BELINGTON ELEMENTARY,West Virginia,5.40E+11,WV ,Barbour County,†,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),313,–,158,–,191,148,165,7,1,4,3,294,–,4,313,22.87,13.69
BELINGTON MIDDLE SCHOOL,West Virginia,5.40E+11,WV ,Barbour County,†,2-No,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),291,–,152,–,173,139,152,4,–,–,2,282,–,3,291,19.48,14.94
BELKNAP SCHOOL,Utah,4.90E+11,UT ,Beaver County,2-No,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,481,189,–,81,270,282,199,3,3,77,0,390,2,6,481,–,†
BELL ACADEMY,New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),374,152,–,29,181,199,175,0,113,116,19,117,3,6,374,26.99,13.86
BELL AVENUE ELEMENTARY,California,63324005165,CA ,Sacramento County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,477,390,–,42,432,254,223,7,110,207,41,92,16,4,477,19,25.11
BELL AVENUE SCHOOL,Pennsylvania,4.23E+11,PA ,Delaware County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),344,343,–,0,343,169,175,4,1,9,322,1,0,7,344,16,21.5
BELL CENTRAL SCHOOL CENTER,Kentucky,2.10E+11,KY ,Bell County,†,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),545,375,–,21,396,271,274,–,–,3,4,536,–,2,545,38.25,14.25
BELL CITY ELEM.,Missouri,2.90E+11,MO ,Stoddard County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,121,76,46,10,86,61,60,–,1,2,4,114,–,–,121,7.46,16.22
BELL CITY HIGH,Missouri,2.90E+11,MO ,Stoddard County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,103,56,23,11,67,60,43,–,–,3,5,95,–,–,103,11.54,8.93
BELL CITY HIGH SCHOOL,Louisiana,2.20E+11,LA ,Calcasieu Parish,2-No,2-No,–,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,760,277,–,70,347,381,379,4,4,39,22,676,–,15,760,45.64,16.65
BELL CO J J A E P,Texas,4.84E+11,TX ,Bell County,2-No,†,†,13-City: Small,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL CO J J A E P,Texas,4.81E+11,TX ,Bell County,2-No,†,†,12-City: Mid-size,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL CO JJAEP,Texas,4.84E+11,TX ,Bell County,2-No,†,†,12-City: Mid-size,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL CO JJAEP,Texas,4.81E+11,TX ,Bell County,2-No,†,†,32-Town: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL COUNTY ALTERNATIVE SCHOOL,Texas,4.81E+11,TX ,Bell County,2-No,2-No,–,41-Rural: Fringe,†,†,†,Yes under Provision 2,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,4,0
BELL COUNTY ALTERNATIVE SCHOOL,Kentucky,2.10E+11,KY ,Bell County,†,2-No,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,35,32,–,0,32,16,19,0,0,1,0,34,0,0,35,2.5,14
BELL COUNTY AREA TECHNOLOGY CENTER,Kentucky,2.10E+11,KY ,Bell County,†,2-No,1-Yes,42-Rural: Distant,†,†,†,No,†,0,–,0,0,†,†,†,†,†,†,†,†,†,0,0,†
BELL COUNTY DAEP,Texas,4.84E+11,TX ,Bell County,2-No,2-No,–,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,1,0,–,0,0,1,0,0,0,0,0,1,0,0,1,–,†
BELL COUNTY DAEP,Texas,4.82E+11,TX ,Bell County,2-No,†,†,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL COUNTY DAEP,Texas,4.84E+11,TX ,Bell County,2-No,†,†,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL COUNTY HIGH SCHOOL,Kentucky,2.10E+11,KY ,Bell County,†,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),720,483,–,43,526,391,329,1,1,6,4,703,1,4,720,35.5,20.28
BELL COUNTY JJAEP,Texas,4.82E+11,TX ,Bell County,2-No,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL COUNTY JJAEP,Texas,4.84E+11,TX ,Bell County,2-No,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL COUNTY JJAEP,Texas,4.82E+11,TX ,Williamson County,2-No,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
BELL CREEK ACADEMY,Florida,1.20E+11,FL ,Hillsborough County,1-Yes,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,–,590,38,10,29,67,302,288,3,38,168,70,278,2,31,590,54,10.93
BELL CREEK ACADEMY HIGH SCHOOL,Florida,1.20E+11,FL ,Hillsborough County,1-Yes,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,–,391,57,3,15,72,210,181,0,16,119,36,190,2,28,391,34,11.5
BELL CREEK INTERMEDIATE SCHOOL,Ohio,3.90E+11,OH ,Greene County,2-No,–,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,585,80,–,29,109,302,283,0,12,16,27,510,0,20,585,31.5,18.57
BELL EL,Texas,4.82E+11,TX ,Harris County,2-No,1-Yes,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),734,595,–,53,648,373,361,1,11,490,200,24,0,8,734,45,16.31
BELL EL,Texas,4.84E+11,TX ,Smith County,2-No,1-Yes,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,454,308,–,53,361,229,225,0,9,241,115,78,0,11,454,28.06,16.18
BELL ELEM SCHOOL,Illinois,1.71E+11,IL ,Cook County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),958,140,–,0,140,495,463,1,97,171,23,575,5,86,958,54.31,17.64
BELL ELEMENTARY,Washington,5.30E+11,WA ,King County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,434,95,–,11,106,233,201,0,53,70,17,259,0,35,434,25.54,16.99
BELL ELEMENTARY,New Mexico,3.50E+11,NM ,Luna County,2-No,†,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),233,233,167,0,233,125,108,0,1,201,8,22,0,1,233,22.55,10.33
BELL ELEMENTARY,Nebraska,3.18E+11,NE ,Sarpy County,†,†,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,523,25,–,16,41,277,246,2,12,23,13,451,0,22,523,30.35,17.23
BELL ELEMENTARY,North Carolina,3.70E+11,NC ,Buncombe County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,290,130,–,16,146,138,152,0,8,42,20,202,0,18,290,21.4,13.55
BELL ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Gilchrist County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),583,349,374,25,374,293,290,0,2,67,1,498,0,15,583,31,18.81
BELL ELEMENTARY SCHOOL,Mississippi,2.80E+11,MS ,Bolivar County,2-No,1-Yes,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),366,366,–,0,366,190,176,0,10,13,179,162,2,0,366,22.32,16.4
BELL ELEMENTARY SCHOOL,North Dakota,3.81E+11,ND ,Ward County,†,†,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,87,26,16,9,35,47,40,2,–,3,2,79,–,1,87,8.67,10.03
BELL ELEMENTARY SCHOOL,Kentucky,2.11E+11,KY ,Wayne County,†,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),402,298,–,29,327,197,205,–,4,45,–,342,–,11,402,28.2,14.26
BELL ES,Oklahoma,4.03E+11,OK ,Tulsa County,2-No,†,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),541,541,367,0,541,297,244,56,3,180,71,154,3,74,541,32.89,16.45
BELL FIELD ELEMENTARY SCHOOL,Nebraska,3.17E+11,NE ,Dodge County,†,†,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,309,164,–,34,198,150,159,0,2,36,4,261,1,5,309,19.42,15.91
BELL FORK ELEMENTARY,North Carolina,3.70E+11,NC ,Onslow County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,652,358,–,58,416,336,316,6,6,112,244,201,3,80,652,39,16.72
BELL GARDENS ELEMENTARY,California,62547003789,CA ,Los Angeles County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,1010,837,–,33,870,503,507,2,–,1007,1,–,–,–,1010,38,26.58
BELL GARDENS HIGH,California,62547003790,CA ,Los Angeles County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,2752,2276,–,226,2502,1356,1396,6,1,2727,2,7,–,9,2752,109.85,25.05
BELL GARDENS INTERMEDIATE,California,62547003791,CA ,Los Angeles County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,1157,981,–,47,1028,630,527,10,1,1137,1,5,–,3,1157,37.89,30.54
BELL H S,Texas,4.82E+11,TX ,Tarrant County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,2318,757,–,194,951,1182,1136,12,164,692,331,995,24,100,2318,131.67,17.6
BELL HIGH SCHOOL,Florida,1.20E+11,FL ,Gilchrist County,2-No,1-Yes,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),656,321,331,10,331,318,338,0,2,53,7,572,0,22,656,44,14.91
BELL HILL ACADEMY,California,61578013165,CA ,Nevada County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,221,120,–,27,147,113,108,1,3,81,1,130,–,5,221,10,22.1
BELL INTERMEDIATE ACADEMY,INDIANA,1.81E+11,IN ,Morgan County,2-No,2-No,2-No,31-Town: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,–,663,280,269,61,341,331,332,2,4,14,9,621,–,13,663,36.7,18.07
BELL MANOR EL,Texas,4.82E+11,TX ,Tarrant County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,740,391,–,77,468,357,383,4,31,181,198,233,34,59,740,42.21,17.53
BELL MIDDLE,California,63432005419,CA ,San Diego County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,675,422,–,109,531,370,305,2,206,284,91,21,18,53,675,30.8,21.92
BELL MIDDLE SCHOOL,Colorado,80480000698,CO ,Jefferson County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,748,141,91,33,174,398,350,1,24,110,3,589,3,18,748,38.12,19.62
BELL MOUNTAIN MIDDLE,California,62454010582,CA ,Riverside County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,1245,414,–,157,571,650,595,5,118,530,81,430,8,73,1245,51.25,24.29
BELL OAKS UPPER ELEMENTARY SCHOOL,New Jersey,3.40E+11,NJ ,Camden County,2-No,†,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,467,186,–,48,234,241,226,–,46,79,16,300,–,26,467,37.82,12.35
BELL PRAIRIE ELEMENTARY,Missouri,2.92E+11,MO ,Clay County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,771,190,107,38,228,390,381,3,36,96,77,498,4,57,771,46.13,16.71
BELL SENIOR HIGH,California,62271002844,CA ,Los Angeles County,2-No,1-Yes,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2609,2206,–,245,2451,1349,1260,3,6,2514,2,81,2,1,2609,107.52,24.27
BELL TOP SCHOOL,New York,3.61E+11,NY ,Rensselaer County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,304,47,–,5,52,156,148,0,14,28,17,224,0,21,304,22,13.82
BELL TWP EL SCH,Pennsylvania,4.22E+11,PA ,Jefferson County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),93,93,–,0,93,44,49,2,0,0,0,91,0,0,93,5.86,15.87
BELL VIEW SCHOOL,Utah,4.90E+11,UT ,Salt Lake County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,318,128,–,25,153,148,170,5,6,73,2,218,2,12,318,–,†
BELL'S CROSSING ELEMENTARY,South Carolina,4.50E+11,SC ,Greenville County,2-No,2-No,2-No,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,981,129,132,38,167,529,452,2,20,90,82,761,1,25,981,56.3,17.42
BELL'S HILL EL,Texas,4.84E+11,TX ,McLennan County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,754,661,–,63,724,404,350,0,0,700,34,19,0,1,754,49.99,15.08
BELL-GRAHAM ELEMENTARY SCHOOL,Illinois,1.74E+11,IL ,Kane County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,397,13,–,2,15,203,194,–,30,33,–,309,1,24,397,24.67,16.09
BELL-HERRON MIDDLE SCHOOL,Ohio,3.90E+11,OH ,Carroll County,2-No,–,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,466,151,–,46,197,250,216,0,1,7,3,450,1,4,466,20,23.3
BELLA ACADEMY OF EXCELLENCE,Ohio,3.90E+11,OH ,Cuyahoga County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),316,–,270,–,–,153,163,0,1,5,290,6,0,14,316,11.97,26.4
BELLA MENTE MONTESSORI ACADEMY,California,64119013667,CA ,San Diego County,1-Yes,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,628,193,–,33,226,343,285,2,21,242,21,288,–,54,628,32,19.63
BELLA ROMERO ACADEMY OF APPLIED TECHNOLOGY,Colorado,80441001990,CO ,Weld County,2-No,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,1164,884,550,124,1008,631,533,2,10,941,82,121,1,7,1164,69.63,16.72
BELLA VISTA ACADEMY,ARIZONA,40034403467,AZ ,Maricopa County,1-Yes,–,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,No,11,–,–,–,–,6,5,0,1,0,0,10,0,0,11,–,†
BELLA VISTA ELEMENTARY,CALIFORNIA,63513013980,CA ,Contra Costa County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,535,56,–,13,69,306,229,2,364,39,14,71,1,44,535,24.5,21.84
BELLA VISTA ELEMENTARY,California,60435000392,CA ,Shasta County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,No,352,192,–,33,225,171,181,13,8,43,5,273,–,10,352,19.5,18.05
BELLA VISTA ELEMENTARY,California,62955004565,CA ,Riverside County,2-No,2-No,–,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,No,741,647,–,31,678,350,391,3,5,494,90,116,–,33,741,34,21.79
BELLA VISTA ELEMENTARY,California,62805004241,CA ,Alameda County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),447,328,–,26,354,255,192,2,224,93,84,20,3,21,447,19,23.53
BELLA VISTA ELEMENTARY,California,62547003792,CA ,Los Angeles County,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,No,525,332,–,49,381,290,235,4,55,448,–,8,–,10,525,23.55,22.29
BELLA VISTA ELEMENTARY SCHOOL,Arizona,40146003062,AZ ,Cochise County,2-No,–,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),356,167,–,28,195,166,190,4,6,147,32,132,3,32,356,20.6,17.28
BELLA VISTA HIGH,California,63462005756,CA ,Sacramento County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,1984,484,–,87,571,982,1002,20,109,353,56,1389,9,48,1984,80.21,24.74
BELLA VISTA MIDDLE,California,60002811040,CA ,Riverside County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,1360,290,–,85,375,701,659,5,146,478,69,500,2,160,1360,52.25,26.03
BELLA VISTA SCHOOL,Utah,4.90E+11,UT ,Salt Lake County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,286,92,–,9,101,162,124,8,4,49,8,198,1,18,286,–,†
BELLAIR ELEMENTARY SCHOOL,Arizona,40775001146,AZ ,Maricopa County,2-No,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,464,167,–,37,204,220,244,2,8,120,19,290,3,22,464,30.4,15.26
BELLAIRE EDUCATION CENTER,Minnesota,2.70E+11,MN ,Ramsey County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,72,47,–,7,54,54,18,1,1,5,20,43,0,2,72,12.88,5.59
BELLAIRE EL,Texas,4.83E+11,TX ,Bell County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),551,472,–,0,472,282,269,2,11,96,302,101,11,28,551,38.16,14.44
BELLAIRE EL,Texas,4.82E+11,TX ,Tarrant County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,743,615,–,45,660,393,350,2,25,479,125,94,7,11,743,43.38,17.13
BELLAIRE EL,Texas,4.82E+11,TX ,Bexar County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),648,548,–,0,548,352,296,0,0,637,2,9,0,0,648,43.3,14.97
BELLAIRE EL SCH,Pennsylvania,4.21E+11,PA ,Cumberland County,2-No,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,397,151,–,18,169,207,190,0,8,41,54,251,0,43,397,24.24,16.38
BELLAIRE ELEMENTARY SCHOOL,Ohio,3.90E+11,OH ,Belmont County,2-No,–,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,445,270,–,38,308,231,214,1,1,5,15,398,0,25,445,26,17.12
BELLAIRE ELEMENTARY SCHOOL,Louisiana,2.20E+11,LA ,Bossier Parish,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,393,126,–,19,145,213,180,1,8,32,69,272,3,8,393,23,17.09
BELLAIRE H S,Texas,4.82E+11,TX ,Harris County,2-No,1-Yes,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,3487,1473,–,192,1665,1745,1742,8,469,1520,695,722,3,70,3487,203.32,17.15
